name;cooking_time;description;ingredients;categories
плов узбекский;60;Нарезаем морковь соломкой среднего размера, как на видео. Это самый длительный этап. После него ставим казан на огонь. Ставим казан на огонь, слегка нагреваем и после этого наливаем масло из расчета 300 грамм на 1 кг риса. На 1,5 кг -наливаем примерно 450 грамм. Масло накаливаем до появления дыма. Мясо нарезаем кусками по 5-6 см, отправляем в горячее масло и интенсивно помешиваем. Обжариваем до аппетитной золотистой корочки. И это важно! Так мы «запечатаем» в мясе сочность и аромат. Держим сильный огонь и отправляем в казан морковь. Ее нужно немного обжарить. Так, чтобы на краях морковной соломки вы увидели следы карамелизации. Следом кладем лук и продолжаем жарить. Как только лук станет прозрачным и частично поджарится, начинаем готовить базу для плова - «зирвак». Зирвак. Добавляем в казан около 2 литров воды и тушим мясо с овощами. Солим так, чтобы бульон был слегка пересоленным. Это важно. Рис потом заберет лишнюю соль. На этом этапе отправляем в казан половину зиры и половину барбариса. Тушим 15 минут. Зирвак готов, и значит можно заряжать рис. Если в вашем рисе много белого крахмала - его нужно обязательно промыть до прозрачности воды. Если рис чистый и полупрозрачный его можно вообще не промывать или промыть однократно. Тут действует простое правило - чем дольше ваш рис контактирует с водой, тем выше вероятность, что он разварится в кашу. Именно поэтому никакого замачивания. Снижаем огонь до минимума. Равномерно распределяем рис по плоскости казана. Насыпаем оставшийся барбарис и зиру. Наливаем воду. Важно! Лучше, если вы не будете доливать воды в процессе готовки. Поэтому постарайтесь долить воду так, чтобы она была на 2 пальца выше поверхности риса. Горячая вода или холодная - не имеет значения. Вставьте в рис 3 головки чеснока. Заодно поймете, насколько точно вы налили воду. Здесь можно откорректировать уровень. А теперь накрываем плов крышкой и завариваем зеленый чай. Спокойно пьем чай, контролируем медленный-медленный огонь и ждем. Минут через 20 можно открывать крышку. Открываем крышку и видим, что вода ушла, рис набух и сверху он почти сухой. Отлично, процесс идет правильно. Теперь нужно осторожно «срезать» шумовкой верхний слой риса и перевернуть его, чтобы верхний рис не остался сырым. Закрываем крышку еще на 5 минут. Финал. Доводим плов до готовности. Открываем крышку и начинаем шумовкой потихоньку собирать плов от краев к центру. Так, чтобы к середине собирался небольшой конус. Чем меньше у вас опыта, тем осторожнее нужно действовать. Нельзя взять и перемешать рис - так вы повредите его структуру. Действуем как на зерновом элеваторе - перекидываем влажный и жирный рис с краев в середину. Постепенно поднимая наверх весь зирвак - мясо, морковь и лук. Минут через 5 у вас все получится. Рис окажется равномерно перемешанным с овощами. Действуйте шумовкой как лопатой. Аккуратно сгребайте рис с поверхности и перебрасывайте в центр.;говядина:1.5 кг.:False,рис:1.5 кг.:False,морковь:1.5 кг.:False,лук репчатый:1.5 кг.:False,зира:1 ст.л.:False,барбарис:1 ст.л.:False,чеснок:3 головки:False;горячее,мясное,говядина,ужин
пирожки с картофелем;80;В теплой воде разведите дрожжи, сахар и 2 столовых ложки муки, оставьте на 10–15 минут. В опару добавьте 50 мл растительного масла, чайную ложку соли и, постепенно добавляя муку, замесите тесто. Накройте его пленкой или полотенцем и поставьте в теплое место без сквозняков на 40 минут. Пока тесто подходит, подготовьте начинку. Картофель очистите, нарежьте небольшими кубиками и сварите до готовности. Измельчите лук и обжарьте его на растительном масле до золотистого цвета. Разомните картофель в пюре, добавьте к нему лук, перемешайте и посолите по вкусу. Смажьте рабочую поверхность растительным маслом, обомните на ней поднявшееся тесто. Отрежьте треть теста, придайте ему форму колбаски, нарежьте одинаковыми кусочками размером с куриное яйцо. Раскатайте кусочек теста скалкой, выложите на него картофельную начинку и хорошо слепите края теста, стараясь не оставлять внутри пузырьков воздуха. Так поступите со всем тестом. В глубокой сковороде разогрейте растительное масло, его должно быть достаточно, чтобы пирожки погружались в него наполовину. На среднем огне обжарить пирожки с обеих сторон до золотистой корочки. Готовые пирожки выложите на бумажные полотенца, чтобы избавиться от лишнего масла.;вода:400 мл.:False,дрожжи сухие:11 г.:False,сахар:1 ст.л.:False,мука:700 г.:False,масло растительное:350 мл.:False,картофель:1.2 кг.:False,лук репчатый:3 шт.:False,соль:по вкусу:False;выпечка,овощи
капкейки;45;Разогрейте духовку до 190 градусов. Положите в 12 форм для маффинов бумажные стаканчики. В комбайне смешайте 225 грамм размягченного сливочного масла, сахар, муку, яйца, ваниль и 60 мл молока до однородной массы. Выложите в формочки и выпекайте 15-20 минут до готовности. Тем временем, в миске взбейте миксером пудру с оставшимся сливочным маслом и молоком до воздушного состояния. Добавьте несколько капель красителя и снова взбейте. Охладите капкейки, переложите крем в кондитерский мешок и выдавите сверху. Украсьте украшениями.;масло сливочное:325 г.:False,сахар:220 г.:False,мука:225 г.:False,яйцо:3 шт.:False,ваниль:по вкусу:True,молоко:125 мл.:False,сахарная пудра:450 г.:False,краситель пищевой:по вкусу:True,украшения:по вкусу:True;выпечка,сладкое
шоколадные яйца;30;Растопите 110 грамм темного шоколада в миске на водяной бане, постоянно помешивая до однородного состояния. Вмешайте сахар, миндаль и слегка взбитый белок. Аккуратно перемешайте. Беря небольшое количество теста, размером с грецкий орех, лепите небольшие яички. Выкладывайте на застеленный пленкой противень. Растопите оставшийся белый и темный шоколад на водяной бане в разных мисках. Охладите 5 минут. Наколите яйцо вилкой и опустите в белый шоколад, выложите на пленку. Другое яйцо окуните в темный шоколад. Половину третьего в белый, а другую — в темный. И так далее. Оставшимся шоколадом аккуратно сбрызните яйца для контраста и посыпьте серебряными шариками. Оставьте на некоторое время при комнатной температуре.;шоколад тёмный:275 г.:False,миндаль:175 г.:False,сахарная пудра:175 г.:False,яйцо:1 шт.:False,шоколад белый:175 г.:False,украшения:по вкусу:True;сладкое
греческие пирожки;60;Для теста соединить в миске 0,5 сахара, разрыхлитель и 2,5 стакана просеянной муки. Добавить к ним 0,5 оливкового масла, 0.5 творога и 2 яйца. Влить коньяк и вымешивать тесто в течение 10 минут. Для начинки в отдельной миске смешать 700 грамм творога, корицу, 2 столовые ложки сахара, 1 столовую ложку муки, цедру лимона и желток. На присыпанном мукой столе тонко раскатать тесто и вырезать из него кружки диаметром 8–10 см. Выложить в середину каждого по 1 столовой ложке начинки (слегка примять ее к центру), а края лепешек загнуть и защипнуть. Перед запеканием смазать слегка взбитым яйцом. Выложить на накрытый пергаментом противень и выпекать 20 минут при 180 градусах. Посыпать корицей перед подачей на стол.;разрыхлитель:1 ч.л.:False,коньяк:1/4 стакана:False,творог:1/2 стакана:False,яйцо:2 шт.:False,творог мягкий:700 г.:False,сахар:2 ст.л.:False,мука:1 ст.л.:False,цедра лимонная:1 ч.л:False,корица:1 ч.л.:False,масло растительное:1/2 стакана:False;выпечка,сладкое
борщ пасхальный;90;Одну морковку, одну луковицу и корень петрушки очистить и обжарить на сухой раскаленной сковороде, 4 мин. Свинину вымыть, положить в кастрюлю и залить 4 л воды и довести до кипения. Снять пену. Добавить обжаренные овощи, соль, перец и варить на среднем огне 1 ч. Свеклу, оставшиеся лук и морковь очистить овощечисткой. Очистки от свеклы сложить в миску с ледяной водой и поставить в холодильник на 30 мин. Затем процедить и поставить на огонь. Как только вода начнет закипать, снять с огня. Лук, морковь и свеклу натереть на терке. Помидор нарезать кубиками. Разогреть в сковороде растительное масло и обжарить лук, морковь и свеклу, помешивая, 4 мин. Влить уксус, тушить 10 мин. Добавить помидоры и готовить еще 4 мин. Снять с огня. Нарезать капусту и сало небольшими кусочками. Сало обжарить на сухой сковороде до шкварок. Добавить капусту и готовить, помешивая, 6 мин. Мясо и овощи вынуть из бульона. Бульон процедить. Положить обжаренные овощи, варить 10 мин. Добавить хрен. Довести борщ до кипения. Приправить солью и перцем.Развести борщ свекольным отваром до нужного цвета.;уксус:1 ст.л:False,свинина:500 г.:False,томат:1 шт.:False,хрен:4 ст.л.:False,свёкла:2 шт.:False,соль:по вкусу:False,сало копчёное:100 г.:False,морковь:2 шт.:False,перец сладкий:1 шт.:False,лук репчатый:2 шт.:False,петрушка:пучок:True,масло растительное:2 ст.л.:False,капуста квашеная:700 г.:False;суп,обед,свинина
паштет;40;Печень промыть холодной водой и очистить от жилок. Если попадается печень с зеленым мешочком или такого же цвета пятном, безжалостно выкинуть в ведро: желчь — враг паштета. Промытое переложить в миску, залить молоком и оставить на час: оно вытянет из продукта все, что накопила вредного курица за свою недолгую жизнь. Лук нарезать полукольцами. Разогреть в сковороде на среднем огне растительное масло, добавить треть сливочного. Загрузить лук. Обжарить до мягкости. Печень промыть от молока. Добавить к луку. Обжаривать минут двадцать-тридцать на среднем огне, регулярно помешивая. Затем убавить огонь и влить сливки: они должны практически полностью покрыть содержимое сковороды. Выпарить сливки наполовину — на это уйдет минут пятнадцать. Только после этого посолить и поперчить. Выключить огонь и дать остыть. Перемолоть луково-печеночно-сливочную смесь в блендере, добавив оставшееся сливочное масло. Переложить паштет в удобную емкость — лучше всего в глиняный горшок — и оставить в холодильнике на ночь.;печень куриная:1 кг.:False,лук репчатый:3 шт.:False,масло сливочное:100 г.:False,масло растительное:3 ст.л.:False,сливки:400 мл.:False,молоко:500 мл.:False,соль:по вкусу:False,перец чёрный молотый:по вкусу:False;перекус,закуска
курица с мандаринами;60;Подготовить все ингредиенты. Брокколи разобрать на маленькие соцветия. Мелко нарезать лук-шалот и чеснок, красный перец нарезать кубиком со стороной 7 мм. Смешать овощи с брынзой. Куриное филе посолить и поперчить по вкусу. В каждой грудке сделать глубокий надрез сбоку, чтобы получился карман. Вложить в этот карман овощную начинку. Разогреть сковородку гриль, смазать ее растительным маслом и пожарить грудки с одной стороны в течение 2 минут, чтобы получить золотистый рисунок решетки на мясе. Выложить фаршированные грудки в пароварку и варить 20 минут. Для соуса очистить мандарины и пробить мякоть в блендере. Процедить через сито, перелить мандариновый сок в сотейник, добавить сахар, несколько крупных кусочков имбиря, кардамон и звездочку бадьяна. Выпарить сок втрое. В конце на слабом огне добавить к соусу сливочное масло и растопить его, активно помешивая. Полить готовые грудки мандариновым соусом и подавать.;брокколи:120 г.:False,лук-шалот:50 г.:False,перец сладкий:1 шт.:False,брынза:200 г.:False,филе куриное:4 шт.:False,мандарин:8 шт.:False,имбирь:40 г.:False,кардамон:3 шт.:False,анис:1 шт.:False,чеснок:1 зубчик:False,масло сливочное:20 г.:False,сахар:2 ст.л.:False,соль:по вкусу:False,перец чёрный молотый:по вкусу:False;курица,горячее,обед,ужин
компот из мандаринов;30;Мандарины очистить, разделить на дольки и положить на тарелку. С кожуры мандарина срезать белую мякоть, а верхний слой (цедру) мелко нарезать в виде соломки и, прокипятив в стакане воды, откинуть на сито. В кастрюлю всыпать сахар, залить его 2 стаканами горячей воды, размешать, положить цедру, очищенные и нарезанные яблоки и при медленном кипении варить 10 минут, пока яблоки не станут мягкими. Остывшие яблоки и дольки мандаринов уложить в вазочки и залить сиропом.;яблоко:250 г.:False,мандарин:4 шт.:False,сахар:3/4 стакана:False;напиток,фрукты
мандарины в сиропе;20;Мандарины вымыть, обсушить и сделать на каждом по несколько разрезов. Подготовленные мандарины залить холодной водой так, чтобы она только покрыла мандарины, добавить саке и анис, довести до кипения и варить 10–15 минут. Вынуть мандарины и дать им остыть. В мандариновый отвар всыпать сахар и добавить 1/3 стакана воды, довести до кипения и варить 1–2 минуты. Готовый сироп слегка охладить. Залить мандарины сиропом. Подавать со сливочным мороженым.;мандарин:15 шт.:False,саке:1 ст.л.:False,сахар:1 стакан:False,анис:по вкусу:True,мороженое:1 кг.:False;сладкое,фрукты
пита с фрикадельками;60;Подготовить все ингредиенты. Соединить фарш с панировочными сухарями. Посолить, поперчить, добавить корицу и яичный желток. Тщательно перемешать. Отбить фарш, слепить из него маленькие шарики. На оливковом масле обжарить фрикадельки до появления карамельной корочки. Накрыть крышкой и подержать минут 5. Положить фрикадельки на бумажную салфетку, чтобы стек лишний жир. Питу разрезать вдоль и положить на сухую горячую сковороду и держать там до появления румяной корочки. То же самое можно устроить с помощью гриля. Красный лук избавить от кожуры и нарезать его тонкими полукольцами. Огурец также нарезать тонкими полукольцами. Оливки разрезать вдоль и избавить от косточек, если они есть. Мелко нарезать петрушку. Перемешать вместе лук, огурец и оливки. Добавить оливковое масло, соль и перец. Положить в питу несколько фрикаделек. Положить сверху овощи. Есть сразу, при желании добавив любой соус — майонез, песто или дзадзики.;фарш говяжий:500 г.:False,сухари панировочные:2 ст.л.:False,яйцо:1 шт.:False,соль:по вкусу:False,перец чёрный молотый:по вкусу:False,масло растительное:3 ст.л.:False,пита:4 шт.:False,огурец:150 г.:False,лук репчатый:1/4 шт.:False,оливки:50 г.:False,петрушка:2 веточки:True,корица:по вкусу:True;горячее,мясное,ужин,говядина
фрикадельки в томате;45;Подготовить все ингредиенты. Соединить фарш с панировочными сухарями. Посолить, поперчить, добавить корицу и яичный желток. Тщательно перемешать. Слепить из фарша фрикадельки размером с перепелиное яйцо. Мелко нарезать лук и чеснок. Обжарить их на оливковом масле до появления яркого аромата и золотистого оттенка. Отправить на сковороду протертые помидоры в собственном соку. Добавить в соус мелко нарезанную петрушку, базилик и розмарин. Погрузить фрикадельки в кипящий соус и томить на слабом огне около 15 минут. Если из соуса будет выкипать жидкость, добавить воды или бульона. Готовые фрикадельки выложить в тарелку вместе с соусом. Посыпать пармезаном и украсить петрушкой. Подавать с подсушенным хлебом, который нужно макать в соус.;фарш говяжий:500 г.:False,сухари панировочные:2 ст.л.:False,яйцо:1 шт.:False,соль:по вкусу:False,перец чёрный молотый:по вкусу:False,томатная паста:500 г.:False,лук репчатый:1 шт.:False,чеснок:2 зубчика:False,петрушка:по вкусу:True,розмарин:по вкусу:True,масло растительное:40 мл.:False,корица:по вкусу:True,хлеб:по вкусу:True,пармезан:по вкусу:True;говядина,горячее,ужин,мясное
курник из лаваша;90;Курицу нарезать кусочками в сантиметр, выложить на разогретую сковороду с растительным маслом и жарить, помешивая, пока она не побелеет. Добавить в сковороду мелконарезанный лук и чеснок, перемешать и жарить, пока лук не станет прозрачным. Добавить в сковороду томаты из банки, перемешать, держать на огне еще 3–4 минуты, посолить, добавить все специи и снять с огня. В миску разбить 3 яйца, добавить кефир, сметану, соль, перец и хорошенько перемешать венчиком. Приготовить круглую форму, в которой будет собираться пирог. По диаметру формы вырезать из лаваша четыре круга. Немного получившейся кефирной заливки распределить по дну формы, сверху выложить круг из лаваша, на него — жареную курицу. Сверху — тертый российский сыр, смешанный с рубленой зеленью, и еще немного заливки. Так выложить все четыре слоя пирога. Последний круг из лаваша нарезать на порционные сегменты, чтобы пирог было проще нарезать. Уложив сверху нарезанный сегментами круг, вылить поверх оставшуюся заливку и убрать в разогретую до 180 градусов духовку на 10 минут. Достать пирог из духовки, разложить поверх ломтики тонко нарезанной моцареллы и вернуть в духовку еще на 15 минут.;лаваш:2 шт.:False,филе куриное:500 г.:False,лук репчатый:2 шт.:False,чеснок:2 зубчика:True,томаты консервированные:200 г.:False,масло растительное:45 мл.:False,перец чёрный молотый:по вкусу:True,хмели-сунели:1/2 ч.л.:False,паприка:1/2 ч.л.:False,сыр:200 г.:False,моцарелла:70 г.:False,кефир:200 мл.:False,сметана:50 г.:False,яйцо:3 шт.:False,укроп:по вкусу:True,лук зелёный:по вкусу:True,соль:по вкусу:False;курица,выпечка,обед
курица в пиве;70;Сливочное масло комнатной температуры перемешать с давленым чесноком, листьями тимьяна, щепоткой соли и перца. Аккуратно затолкать масло под кожицу на грудке курицы, стараясь эту кожицу не порвать. Посолить и поперчить курицу со всех сторон — и положить в глубокую форму, но не слишком широкую, чтобы у птицы было поменьше свободного пространства. Поставить курицу в духовку и запекать при тех же 180 градусах. Через десять минут окатить птицу небольшим количеством пива. И продолжать это делать раз в десять минут, пока курица не приготовится, а пиво не кончится. Подсушить черный хлеб, а сухарики перемолоть в блендере в мелкую крошку. Картошку отварить в подсоленной воде, затем слить из кастрюли воду, а взамен добавить молоко, яйца и подсолнечное масло. Сделать пюре, вмешать перемолотые сухарики. Подавать картошку к запеченной курице.;курица:2 кг.:False,картофель:1 кг.:False,пиво тёмное:500 мл.:False,яйцо:2 шт.:False,хлеб чёрный:100 г.:False,чеснок:2 зубчика:True,масло сливочное:100 г.:False,молоко:200 мл.:False,масло растительное:50 мл.:False,тимьян свежий:6 стеблей:False,соль:по вкусу:False,перец чёрный молотый:по вкусу:False;горячее,курица,обед,ужин
попкорн из курицы;90;Смешиваем чесночный порошок, черный молотый перец и паприку. Делим смесь на 2 части (одна часть пойдёт для маринада, вторая для панировки). Если хотите поострее, замените часть черного перца кайенским (чили) перцем. Режем филе на кусочки размером приблизительно 1,5×2 см. В глубокой миске соединяем 1 часть смеси с нарезанным филе, солим по вкусу, хорошо перемешиваем и убираем в холодильник на пол часа — час. В миске побольше смешиваем вторую часть смеси с мукой и приправляем солью по вкусу, чтобы панировка не была пресной. Достаём курицу из холодильника, панируем курицу в муке, затем окунаем её в йогурт. Затем снова панируем в муке. Потом выкладываем кусочки на решётку, чтобы они слегка подсохли, 10-15 минут будет вполне достаточно. В кастрюлю с толстым дном наливаем 2,5-3 см. растительного масла, ставим на огонь менее среднего и нагреваем масло. Бросаем наши кусочки в масло, они должны кипеть, но не сильно. Жарим 3-4 минуты до ярко золотистого цвета. Если у вас будет жариться быстрее, значит у вас перегрето масло, убавьте ещё огонь. Жарить в несколько этапов, чтобы при жарке кусочки свободно плавали в масле и не слипались. Вынимаем шумовкой на бумажное полотенце, чтобы дать стечь лишнему маслу. Подавать можно сразу. Поп-корн получается хрустящим снаружи и сочным внутри.;филе куриное:500 г.:False,мука кукурузная:300 г.:False,чеснок сушеный:2 ст.л.:False,перец чёрный молотый:1 ст.л.:False,паприка:1 ст.л.:False,соль:по вкусу:True,йогурт:300 г.:False,масло растительное:по вкусу:False;курица,закуска,перекус
кекс лимонный;80;В кухонном комбайне смолоть миндаль в мелкую крошку. Отдельно смешать просеянную муку, разрыхлитель и соль. Оставшееся масло поместить в большую миску и всыпать стакан сахара. Миксером взбить в течение минуты, добавить по одному яйца, затем вмешать мучную смесь и влить молоко. Тщательно все смешать, добавить цедру двух лимонов и снова перемешать. Духовку разогреть до 180 градусов. Прямоугольную форму для кекса смазать сливочным маслом и посыпать крошками, стряхнуть излишки. Перелить тесто в форму и выпекать до готовности около часа. Оставшийся сахар смешать в сотейнике с соком двух лимонов и на среднем огне, помешивая и не давая кипеть, приготовить глазурь. Кистью покрыть еще горячий кекс глазурью, затем полностью остудить и завернуть в пищевую пленку. Оставить при комнатной температуре на двадцать четыре часа.;масло сливочное:180 г.:False,крошки:2 ст.л.:False,миндаль:80 г.:False,мука:345 г.:False,разрыхлитель:1 ч.л.:True,соль:3/4 ч.л.:False,сахар:350 г.:False,яйцо:2 шт.:False,молоко:100 мл.:False,лимон:2 шт.:False;выпечка,сладкое
лимонный курд;20;Взбить яйца, желтки и сахар до однородной массы и поставить их на водяную баню. Добавить сок и цедру двух лимонов. Далее постепенно вмешать охлажденное сливочное масло. Продолжать мешать, пока курд не загустеет. Протереть получившийся курд через сито и переложить в банку.;яйцо:4 шт.:False,сахар:165 г.:False,масло сливочное:80 г.:False,лимон:2 шт.:False;сладкое,фрукты
запеченные яблоки;30;Помыть яблоки и срезать у них верхушку. Серединку яблока вытащить при помощи чайной ложки. Вытащить все косточки и вырезать ложкой углубление в яблоке — так, чтобы яблоко превратилось в чашу или пиалу. Уложить яблоки в емкость для запекания, накрытую пергаментом. Посыпать их сахаром (половиной от указанного количества) и корицей. Отправить все в духовку, разогретую до 170 градусов, на 15–20 минут. Следить за тем, как готовятся яблоки. Пока яблоки запекаются, приготовить начинку. В творог добавить ягоды (если ягоды замороженные, предварительно их нужно разморозить) и оставшийся сахар. Аккуратно перемешать — так, чтобы ягоды остались целыми. Положить в каждое яблоко творожную массу с горкой. Отправить в духовку, разогретую до той же температуры, на 5–7 минут. Признак готовности — чуть подпекшийся, но не потемневший творог. Выложить готовые яблоки в посуду для подачи, аккуратно, чтобы сок из яблок не вытек. Накрыть каждое яблоко крышкой, остудить в течение 10 минут. Затем полить все жидким медом, посыпать орехами, сахарной пудрой, корицей и ягодами. Украсить мятой и подавать.;яблоко:4 шт.:False,сахар:4 ст.л.:False,корица:по вкусу:True,творог:200 г.:False,ягоды:100 г.:False,мёд:по вкусу:True,орехи:по вкусу:True,сахарная пудра:по вкусу:True,мята:по вкусу:True;фрукты,сладкое
форшмак;15;Отрезать от батона — можно обычного нарезного — три не слишком больших ломтика, срезать корочку (хотя можно и оставить). Положить в миску и залить питьевой водой так, чтобы она полностью покрывала хлеб. Очистить и крупно нарезать лук и целое яблоко. Количество лука зависит от вкуса едоков, но помните: чем дольше хранится форшмак, тем сильнее луковый дух. Пропустить через мясорубку филе сельди, сваренные вкрутую яйца, лук, яблоки и хорошо отжатый хлеб. Выбирать решетку нужно исходя из требуемой текстуры форшмака. Можно и не пользоваться мясорубкой, а нарубить все ингредиенты ножом — это аутентичнее. Можно добавить масло, оставшееся в упаковке сельди, и снова сделать массу однородной. И подавать — с религиозным чувством или без.;сельдь:500 г.:False,яйцо:3 шт:False,хлеб белый:3 шт.:True,яблоко:1.5 шт.:False,лук репчатый:1/2 шт.:False,петрушка:по вкусу:True,соль:по вкусу:False;перекус,закуска,рыба
салат газапхули;10;Большое яблоко натереть на крупной терке. С огурцов снять кожуру и натереть тоже (если овощи совсем молоденькие, то можно и с кожурой). Чеснок и укроп (без стеблей, только листья) мелко нарубить, лук нарезать произвольно. Смешать с огурцами и яблоком, сбрызнуть лимонным соком, заправить уксусом и маслом, перемешать.;яблоко:1 шт.:False,огурец:2 шт.:False,чеснок:2 зубчика:True,лук зелёный:4 шт.:False,укроп:по вкусу:False,сок лимонный:по вкусу:True,уксус:по вкусу:True,масло растительное:1/2 ст.л.:False;салат,перекус,овощи
тост с редиской;15;Редиску нарезать тонкими кружочками с помощью ножа или мандолины. Положить редиску в холодную воду, от воды она станет более хрустящей и немного изогнется в форму чашечки. Мелко порубить петрушку и кинзу. Смешать творожный сыр со сметаной. Добавить петрушку с кинзой и перемешать. Посолить и поперчить по вкусу. На сухой сковороде или в тостере поджарить хлеб до золотистой корочки. Намазать на хлеб щедрый слой сырного крема. На крем выложить редис, предварительно промокнув его бумажным полотенцем. Сверху выложить небольшие листья мизуны и подавать к завтраку.;хлеб:6 кусков:False,сыр творожный:300 г.:False,сметана:100 г.:False,петрушка:15 г.:True,кинза:15 г.:True,мизуна:по вкусу:True,редис:6 шт.:False,соль:по вкусу:False,перец чёрный молотый:по вкусу:False;перекус,закуска,овощи
ленивый пирог;20;Из двух больших листов лаваша вырезать четыре круга. Для этого можно использовать ножницы и круглую крышку или тарелку, по диаметру соответствующую сковороде, в которой будете готовить. Круги, вырезанные из лаваша, используйте для приготовления блюда, а обрезки не понадобятся - из них можно приготовить, например, чипсы. Колбасу нарезать тонкими ломтиками. Помидор вымыть и нарезать тонкими кружочками. Сыр натереть на тёрке. Яйца разбить в миску, посолить, поперчить и взболтать вилкой. На разогретой сковороде разогреть половину сливочного масла. Убавить огонь до минимума и вылить половину яиц. Положить сверху круг лаваша. На лаваш выложить половину колбасы и посыпать примерно 1/3 частью сыра. Сверху накрыть вторым кругом лаваша. Выложить на него кружочки помидоров. Посыпать ещё 1/3 сыра. Накрыть третьим кругом лаваша, выложить оставшуюся колбасу и снова посыпать оставшимся сыром. Накрыть четвертым кругом лаваша. Сверху залить оставшимся яйцом. Готовить под крышкой на среднем огне примерно 5 минут. Затем аккуратно снять пирог со сковороды (широкой лопаткой на плоское блюдо). Сковороду смазать оставшимся маслом, положить пирог из лаваша обратной неподжаренной стороной и готовить ещё 5 минут под крышкой. Готовый пирог снять со сковороды, нарезать порционно и сразу же подавать.;лаваш:2 шт.:False,колбаса:200 г.:False,сыр:200 г.:False,томат:1 шт.:False,яйцо:3 шт.:False,масло сливочное:15 г.:False,соль:по вкусу:False,перец чёрный молотый:по вкусу:False;завтрак
сырники-кубики;15;В миску кладём творог и вбиваем яйцо. Тщательно перемешиваем и растираем вилкой, разминая комочки творога. В миску с творогом просеиваем муку. Перемешиваем. Банан очищаем и нарезаем небольшими кружочками. Из творожного теста скатываем шарик и кладём на подпыленную мукой доску. Пальцами расплющиваем шарик в лепёшку. В центр лепёшки кладём кусочек банана. Собираем края лепёшки к центру и формируем сырник кубической формы. Если тесто слишком липкое, руки подпыляем мукой. Таким же образом формируем остальные сырники-кубики с начинкой. У меня получилось 7 сырников. В сковороде разогреваем растительное масло. Обжариваем сырники с банановой начинкой на умеренном огне по 2-3 минуты с каждой стороны. Сырники с бананом готовы. При желании поливаем сырники-кубики мёдом при подаче.;творог:200г.:False,банан:1 шт.:False,мука:3 ст.л.:False,масло растительное:для жарки:False,мёд:для подачи:True;завтрак,фрукты
яйца по-неаполитански;25;Разрежьте помидор пополам, удалите семечки, лишняя вода в этом блюде не нужна. Положить в формочки помидоры. Посолите помидоры, поперчите по вкусу, посыпьте листиками тимьяна, сбрызните оливковым маслом. Добавить специи и масло. Сверху на помидор выложите по большому ломтю моцареллы. Положить сыр. Слегка присыпьте моцареллу пармезаном, растирая его между пальцами. Присыпать тертым сыром. Разбейте по одному яйцу в форму для запекания, а если позволяет, то вбейте еще по одному яйцу. Поставьте формы в разогретую духовку и запекайте при 200 градусах 10-15 минут. Смотрите по своей духовке, желток должен остаться жидким. Вбить яйцо. Посыпаем яйца свежим тимьяном, пармезаном и либо нарубленными каперсами, либо кладем плоды каперсов по 1-2 штуки в каждую порцию. Положить каперсы. Подаем готовые яйца по-неаполитански сразу же после приготовления с гренками или свежайшим хлебушком.;томат:1 шт.:False,моцарелла:100 г.:False,тимьян:веточка:True,пармезан:2 ст.л.:False,каперсы:10 г.:False,яйцо:2-4 шт.:False,масло сливочное:2 ч.л.:False,соль:по вкусу:False,перец чёрный молотый:по вкусу:False;завтрак
творожный пуддинг;55;Чтобы пудинг получился нежным и воздушным, творог протрем через сито. Молоко закипятим, всыплем манку и сварим кашу, добавим в нее соль и сахар. В протертый творог добавляем растопленное не горячее сливочное масло. Оставим немного для смазывания пудинга сверху, перемешиваем. Далее добавляем остывшую манную кашу. Затем добавим предварительно взбитый желток куриного яйца и тщательно перемешаем все до однородного состояния. После чего взбиваем до стойкости белок, вводим его в творожную массу и очень аккуратно все смешиваем. Форму для пудинга смазываем сливочным маслом и присыпаем панировочными сухарями, после чего выкладываем воздушную массу. Разравниваем поверхность и с помощью кулинарной кисти смазываем оставшимся растопленным маслом. Выпекаем творожный пудинг как в детском саду в заранее разогретой до 180 градусов духовке примерно 30-40 минут. Готовый пудинг достаем и даем ему остыть.;творог:400 г.:False,сахар:30 г.:False,крупа манная:10 г.:False,молоко:40 г.:False,масло сливочное:40 г.:False,яйцо:1 шт.:False,соль:по вкусу:False;завтрак
